Date,Value
2018-08-12,0.11297
2018-08-19,0.102437
2018-08-26,0.0933377
2018-09-02,0.104432
2018-09-09,0.076643
2018-09-16,0.0699625
2018-09-23,0.0897535
2018-09-30,0.0851952
2018-10-07,0.0846583
2018-10-14,0.0712929
2018-10-21,0.0758732
2018-10-28,0.0731664
2018-11-04,0.0762293
2018-11-11,0.0764809
2018-11-18,0.0619158
2018-11-25,0.0377253
2018-12-02,0.0416718583
2018-12-09,0.0316925859
2018-12-16,0.0291031969
2018-12-23,0.0442302884
2018-12-30,0.0432797244
2019-01-06,0.0492606359
2019-01-13,0.0402408995
2019-01-20,0.0434768143
2019-01-27,0.0411679273
2019-02-03,0.0380292932
2019-02-10,0.042829627
2019-02-17,0.041451697
2019-02-24,0.0424559285
2019-03-03,0.0423116803
2019-03-10,0.0456981921
2019-03-17,0.0502066325
2019-03-24,0.0617036668
2019-03-31,0.0697461128
2019-04-07,0.0904844568
2019-04-14,0.0846432018
2019-04-21,0.0741063673
2019-04-28,0.0685910033
2019-05-05,0.0661462463
2019-05-12,0.0700857936
2019-05-19,0.0869959074
2019-05-26,0.0860142085
2019-06-02,0.0965777361
2019-06-09,0.0794703859
2019-06-16,0.0923209296
2019-06-23,0.0966443232
2019-06-30,0.0820975864
2019-07-07,0.0799637945
2019-07-14,0.059429195
2019-07-21,0.061202752
2019-07-28,0.0594743569
2019-08-04,0.0562707515
2019-08-11,0.0549811378
2019-08-18,0.0507313127
2019-08-25,0.0494389901
2019-09-01,0.0445425638
2019-09-08,0.0467188925
2019-09-15,0.0467986675
2019-09-22,0.0491113719
2019-09-29,0.0374855329
2019-10-06,0.0393238812
2019-10-13,0.0413246942
2019-10-20,0.0395285203
2019-10-27,0.0423347608
2019-11-03,0.0419302615
2019-11-10,0.0439577628
2019-11-17,0.0454207846
2019-11-24,0.0355875414
2019-12-01,0.0395866334
2019-12-08,0.0389476393
2019-12-15,0.0366534029
2019-12-22,0.0344662803
2019-12-29,0.0342839436
2020-01-05,0.03472142
2020-01-12,0.0376903716
2020-01-19,0.0419788834
2020-01-26,0.0445806678
2020-02-02,0.0557678266
2020-02-09,0.0618091467
2020-02-16,0.0626536393
2020-02-23,0.0615100648
2020-03-01,0.045932439
2020-03-08,0.0432912431
2020-03-15,0.0271195842
2020-03-22,0.0270889539
2020-03-29,0.0282486376
2020-04-05,0.0320027974
2020-04-12,0.0338057861
2020-04-19,0.0358161071
2020-04-26,0.0458787224
2020-05-03,0.0489288436
2020-05-10,0.0476768235
2020-05-17,0.0513433441
2020-05-24,0.0526414254
2020-05-31,0.0743519571
2020-06-07,0.0866543195
2020-06-14,0.0767477534
2020-06-21,0.0784754541
2020-06-28,0.0803918425
2020-07-05,0.0982106736
2020-07-12,0.1267832737
2020-07-19,0.1237116335
2020-07-26,0.1481076073
2020-08-02,0.1335045918
2020-08-09,0.1452442692
2020-08-16,0.13815832
2020-08-23,0.122323
2020-08-30,0.11525337
2020-09-06,0.09367229
2020-09-13,0.09498492
